epoch,lr,train_loss,train_top1,val_loss,val_top1,val_top5,seconds
0,0.0003,3.7811969481974916,0.22766036336670376,2.4650420633951824,0.4483333333333333,0.7533333333333333,63.893677499996556
1,0.0003,1.8750132912832762,0.5902855024100853,1.9250485754013063,0.5233333333333333,0.83,15.038840100001835
2,0.00029796101485870695,1.1540701438375522,0.743047830923248,1.5696445210774739,0.6,0.88,15.275968299996748
3,0.0002918996776342448,0.7500618454434936,0.8375973303670745,1.48818967183431,0.62,0.8783333333333333,15.895979100001568
4,0.0002819813258053701,0.49533799828800573,0.8978494623655914,1.4706970198949179,0.625,0.8766666666666667,18.4233075000011
5,0.0002684765061547608,0.30377783675215003,0.946421950315165,1.2644221425056457,0.665,0.9066666666666666,19.914842099999078
6,0.0002517535949580483,0.18149189020047418,0.9725621060437524,1.195700348218282,0.7016666666666667,0.91,21.251074599997082
7,0.00023226874963930277,0.11733734027009829,0.9864664441972563,1.1509665711720785,0.7033333333333334,0.9233333333333333,20.696726500005752
8,0.00021055346598561892,0.07624550703546937,0.9931405265109381,1.0628546937306722,0.7216666666666667,0.9233333333333333,20.282154199994693
9,0.00018720008032754946,0.04865874840560603,0.9961067853170189,1.0607354839642842,0.7233333333333334,0.9266666666666666,17.651768700001412
10,0.00016284561214811367,0.03590414127763837,0.9985168705969596,1.0097896456718445,0.7383333333333333,0.9266666666666666,17.294905200003996
11,0.0001381543878518863,0.02329879825120508,0.9998146088246199,1.010424047311147,0.745,0.93,17.3412268999964
12,0.00011379991967245051,0.019272667370684112,0.9988876529477196,0.982237548828125,0.7516666666666667,0.93,17.030513300000166
13,9.044653401438108e-05,0.015926972421111997,0.9992584352984798,0.9607564425468444,0.7583333333333333,0.9316666666666666,18.227490399993258
14,6.87312503606972e-05,0.012921353359041963,1.0,0.9488703815142313,0.7566666666666667,0.9316666666666666,19.43043729999772
15,4.924640504195173e-05,0.010890910591519913,1.0,0.9570217061042786,0.755,0.935,19.960289000002376
16,3.252349384523917e-05,0.01094610948967832,0.9998146088246199,0.9461051313082377,0.7616666666666667,0.935,18.601286199998867
17,1.9018674194629896e-05,0.009782177102253046,1.0,0.9524756145477294,0.7566666666666667,0.935,18.23665859999892
18,9.100322365755122e-06,0.009513683215510218,0.9998146088246199,0.9559351134300232,0.7533333333333333,0.9333333333333333,19.464220500005467
19,3.0389851412930127e-06,0.009340797280592303,0.9998146088246199,0.952570203145345,0.76,0.9316666666666666,21.157714699998905
