epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.9615664996612856,0.1831664812754913,0.42825361512791993,2.8121875222524007,0.36666666666666664,0.6983333333333334,56.765872200005106
1,0.0003,2.134971129615792,0.5176121616611049,0.8275862068965517,2.102741721471151,0.455,0.7783333333333333,16.026818799997272
2,0.00029796101485870695,1.3922711353987998,0.671116054875788,0.9234334445680386,1.56883607228597,0.5716666666666667,0.8666666666666667,16.91789989999961
3,0.0002918996776342448,0.9383234973302098,0.7849462365591398,0.9666295884315906,1.4225704463322957,0.6416666666666667,0.89,17.752009699994233
4,0.0002819813258053701,0.6529145447863974,0.8494623655913979,0.9846125324434557,1.3770862245559692,0.6416666666666667,0.885,18.791171800003212
5,0.0002684765061547608,0.4527959330549583,0.9097144975899147,0.9946236559139785,1.3547024281819662,0.65,0.8966666666666666,18.93462179999915
6,0.0002517535949580483,0.2947123382526457,0.9471635150166852,0.9974045235446792,1.2690600474675497,0.66,0.9016666666666666,244.5104696000053
7,0.00023226874963930277,0.19577775870732655,0.9690396737115313,0.9992584352984798,1.1430085579554239,0.6966666666666667,0.9283333333333333,16.93236930000421
8,0.00021055346598561892,0.12686607250470694,0.9835001853911753,0.9994438264738599,1.1147711483637492,0.6966666666666667,0.9216666666666666,16.318700199997693
9,0.00018720008032754946,0.08337799449750659,0.992955135335558,0.9998146088246199,1.0890062403678895,0.715,0.9183333333333333,16.336827099999937
10,0.00016284561214811367,0.05703992995236333,0.996662958843159,0.9998146088246199,1.0354427854220072,0.7383333333333333,0.9333333333333333,17.152548500002013
11,0.0001381543878518863,0.039478993369283656,0.9979606970708195,1.0,1.0527428118387858,0.72,0.9283333333333333,17.91740849999769
12,0.00011379991967245051,0.0354612131517078,0.9985168705969596,1.0,0.9915080897013346,0.7483333333333333,0.9333333333333333,18.157862300002307
13,9.044653401438108e-05,0.024728069343653528,0.9996292176492398,1.0,0.9824400480588277,0.75,0.9266666666666666,18.18337879999308
14,6.87312503606972e-05,0.019913706550713728,1.0,1.0,0.9868318549791972,0.755,0.9216666666666666,20.021716899995226
15,4.924640504195173e-05,0.01684343114199685,1.0,1.0,0.9886448804537455,0.75,0.93,18.50517779999791
16,3.252349384523917e-05,0.016135083358841205,0.9998146088246199,1.0,0.9803812567392985,0.7433333333333333,0.9316666666666666,18.131661899999017
17,1.9018674194629896e-05,0.014568850862171016,0.9996292176492398,1.0,0.9724494806925456,0.765,0.9316666666666666,19.490801200001442
18,9.100322365755122e-06,0.014923799048154761,0.9998146088246199,1.0,0.9637782629330953,0.77,0.9366666666666666,18.745373899997503
19,3.0389851412930127e-06,0.014726591961921743,0.9998146088246199,1.0,0.9698186492919922,0.76,0.935,18.957134999996924
