epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.9742807706373906,0.18557656655543195,0.42565813867259916,2.7930892435709636,0.3466666666666667,0.6866666666666666,63.59541209999588
1,0.0003,2.1850738638986424,0.5152020763811642,0.8275862068965517,2.143817647298177,0.4683333333333333,0.7916666666666666,17.15856789999816
2,0.00029796101485870695,1.4072461212216194,0.6779755283648499,0.9263997033741194,1.6874594259262086,0.55,0.865,18.622642700000142
3,0.0002918996776342448,0.9615704017875368,0.778457545420838,0.9636633296255098,1.5743362935384115,0.5666666666666667,0.875,19.08411559999513
4,0.0002819813258053701,0.6756168003430577,0.8435298479792361,0.9844271412680756,1.3558032608032227,0.6283333333333333,0.8833333333333333,18.41321600000083
5,0.0002684765061547608,0.4825084874220676,0.8941416388579904,0.9927697441601779,1.442337654431661,0.6016666666666667,0.865,18.990395400003763
6,0.0002517535949580483,0.344157365900435,0.9347423062662217,0.996662958843159,1.29486838499705,0.6733333333333333,0.89,19.07368850000057
7,0.00023226874963930277,0.24260026258497625,0.957360029662588,0.9985168705969596,1.3267084296544394,0.6466666666666666,0.8933333333333333,19.35502670000278
8,0.00021055346598561892,0.17047930571561748,0.9734890619206525,0.9994438264738599,1.1192018755276998,0.6916666666666667,0.9166666666666666,19.41143590000138
9,0.00018720008032754946,0.1034387531692026,0.9872080088987765,0.9998146088246199,1.125590374469757,0.705,0.91,19.471046099999512
10,0.00016284561214811367,0.07602664138769546,0.9922135706340378,1.0,1.1079808775583904,0.6966666666666667,0.93,19.129906500005745
11,0.0001381543878518863,0.05031157557638124,0.9977753058954394,0.9998146088246199,1.0233589299519856,0.7183333333333334,0.9216666666666666,19.23668880000332
12,0.00011379991967245051,0.04094554127453321,0.9975899147200593,1.0,1.0173198493321736,0.705,0.9266666666666666,20.210621500002162
13,9.044653401438108e-05,0.03444252057711659,0.9979606970708195,1.0,1.0349573365847269,0.7233333333333334,0.9283333333333333,19.739387100002205
14,6.87312503606972e-05,0.024988847704238922,0.9994438264738599,1.0,1.0292314791679382,0.73,0.9233333333333333,19.52920489999815
15,4.924640504195173e-05,0.0208443273183457,0.9996292176492398,1.0,1.0068655260403951,0.7383333333333333,0.9183333333333333,19.57453550000355
16,3.252349384523917e-05,0.020198354310734894,0.9994438264738599,0.9998146088246199,0.9957899673779805,0.7283333333333334,0.925,19.79728079999768
17,1.9018674194629896e-05,0.01887417127180418,0.9998146088246199,1.0,0.9918729146321614,0.7316666666666667,0.925,19.620761000005587
18,9.100322365755122e-06,0.018568245553842153,0.9996292176492398,1.0,0.9951004338264465,0.73,0.925,19.79455909999524
19,3.0389851412930127e-06,0.016937040825729065,0.9998146088246199,1.0,0.9946829223632813,0.735,0.9266666666666666,19.68100730000151
