epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.84431245904257,0.22265480163144236,0.4738598442714127,2.661459347407023,0.375,0.725,59.092385700001614
1,0.0003,1.9739526771464788,0.560808305524657,0.8596588802373007,1.7980870564778646,0.56,0.8583333333333333,15.534446600002411
2,0.00029796101485870695,1.2450812917132266,0.7193177604746014,0.9436410826844642,1.5340969212849935,0.5916666666666667,0.8583333333333333,17.38125520000176
3,0.0002918996776342448,0.8356386414712829,0.8121987393400074,0.9736744530960326,1.4217473363876343,0.635,0.8966666666666666,18.999910500002443
4,0.0002819813258053701,0.5871876960645838,0.8674453096032629,0.9868372265480163,1.3832351318995157,0.6516666666666666,0.8866666666666667,18.900736299998243
5,0.0002684765061547608,0.37338521609184344,0.9232480533926585,0.9949944382647385,1.1880676333109539,0.675,0.9033333333333333,19.15768240000034
6,0.0002517535949580483,0.25557677228449893,0.9501297738227661,0.9987022617723397,1.2427105975151063,0.6716666666666666,0.9,19.205574499996146
7,0.00023226874963930277,0.17761402020509215,0.9710789766407119,0.9998146088246199,1.1686158188184101,0.695,0.9183333333333333,19.32834890000231
8,0.00021055346598561892,0.1147935278672265,0.9849833147942157,0.9998146088246199,1.1284205754597982,0.6983333333333334,0.925,19.397265700004937
9,0.00018720008032754946,0.08423029214232154,0.9903596588802372,0.9998146088246199,1.0971269647280375,0.7233333333333334,0.9216666666666666,19.516170399998373
10,0.00016284561214811367,0.05861900008118148,0.9944382647385984,0.9998146088246199,1.0830386646588643,0.7333333333333333,0.9266666666666666,19.410304400000314
11,0.0001381543878518863,0.0423154668909424,0.9964775676677791,1.0,1.0633249600728354,0.7283333333333334,0.925,205.448341299998
12,0.00011379991967245051,0.03253832111507378,0.9975899147200593,1.0,0.9883347042401631,0.745,0.9316666666666666,14.176121999997122
13,9.044653401438108e-05,0.026467247098452256,0.9985168705969596,0.9998146088246199,0.9624265066782633,0.755,0.9266666666666666,14.423455700001796
14,6.87312503606972e-05,0.019722177907078628,0.9996292176492398,1.0,0.9709507409731547,0.76,0.9383333333333334,15.20876380000118
15,4.924640504195173e-05,0.01650164465457588,1.0,1.0,0.9653336008389791,0.7533333333333333,0.93,16.07135659999767
16,3.252349384523917e-05,0.013972331583638036,1.0,1.0,0.9552022846539815,0.75,0.9333333333333333,16.74237130000256
17,1.9018674194629896e-05,0.014631370039678168,0.9992584352984798,1.0,0.9691277146339417,0.7516666666666667,0.93,17.568026799999643
18,9.100322365755122e-06,0.013600623053469214,0.9996292176492398,1.0,0.9559960261980692,0.755,0.9316666666666666,18.572698700001638
19,3.0389851412930127e-06,0.013291406596799803,0.9998146088246199,1.0,0.9564133071899414,0.7483333333333333,0.9316666666666666,18.421167800006515
