epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.986304311607341,0.18798665183537264,0.41694475342973675,2.790049107869466,0.315,0.6766666666666666,57.49609490000148
1,0.0003,2.259304050962528,0.4847979236188357,0.8020022246941045,1.905550168355306,0.52,0.8466666666666667,14.92786889999843
2,0.00029796101485870695,1.5666408476053364,0.6327400815721171,0.8909899888765295,1.6635349289576213,0.56,0.8566666666666667,16.71509530000185
3,0.0002918996776342448,1.1763696165097215,0.7176492398961809,0.9295513533555803,1.5169749848047893,0.63,0.8633333333333333,18.05292969999573
4,0.0002819813258053701,0.8902047861051153,0.7953281423804227,0.9579162031887282,1.5967765029271443,0.5866666666666667,0.855,18.76097600000503
5,0.0002684765061547608,0.6863294200716878,0.8470522803114572,0.9705228031145717,1.341712646484375,0.6233333333333333,0.8833333333333333,19.496266499998455
6,0.0002517535949580483,0.5332922186725971,0.8835743418613274,0.9799777530589544,1.5351409514745076,0.6066666666666667,0.85,18.666227499998058
7,0.00023226874963930277,0.44998540233407675,0.9069336299592139,0.9833147942157954,1.3141156911849976,0.6466666666666666,0.9066666666666666,19.171071999997366
8,0.00021055346598561892,0.34357815335581027,0.9299221357063404,0.9875787912495365,1.2385352595647177,0.67,0.8883333333333333,19.13132719999703
9,0.00018720008032754946,0.26106267768031893,0.9503151649981461,0.9912866147571375,1.1545497719446818,0.6933333333333334,0.9266666666666666,19.01784270000644
10,0.00016284561214811367,0.2133122596435296,0.9601408972932889,0.9923989618094179,1.1169462172190348,0.7166666666666667,0.9116666666666666,19.13290280000365
11,0.0001381543878518863,0.19076387036120754,0.9645902855024101,0.9953652206154987,1.0905088472366333,0.7116666666666667,0.9216666666666666,19.34318639999401
12,0.00011379991967245051,0.15531384383566874,0.9729328883945124,0.9946236559139785,1.0268182826042176,0.7283333333333334,0.9266666666666666,19.42392749999999
13,9.044653401438108e-05,0.13781346913881554,0.9738598442714127,0.9959213941416388,1.0248530991872151,0.73,0.92,19.262116199999582
14,6.87312503606972e-05,0.11729538053948216,0.9801631442343345,0.9964775676677791,1.0140260513623556,0.74,0.9316666666666666,19.539374400003
15,4.924640504195173e-05,0.10057738227759373,0.9820170559881349,0.9964775676677791,1.0169977378845214,0.72,0.925,19.352687099999457
16,3.252349384523917e-05,0.09852734705364877,0.9846125324434557,0.9964775676677791,0.982492466767629,0.7333333333333333,0.925,19.539198400001624
17,1.9018674194629896e-05,0.08999855044509554,0.9860956618464961,0.9968483500185391,0.9856152256329854,0.7483333333333333,0.9316666666666666,19.55007040000055
18,9.100322365755122e-06,0.08205234697782689,0.9864664441972563,0.9983314794215795,0.9803212157885234,0.7583333333333333,0.9266666666666666,19.599232699998538
19,3.0389851412930127e-06,0.07740732097724079,0.989247311827957,0.9979606970708195,0.9791857624053955,0.7566666666666667,0.9283333333333333,19.59550109999691
