epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.7654635691404077,0.2363737486095662,0.5025954764553208,2.588992462158203,0.39666666666666667,0.7433333333333333,56.58374039999762
1,0.0003,1.9116825279501752,0.5754542083796811,0.8776418242491657,1.865938811302185,0.5316666666666666,0.8483333333333334,14.816816200000176
2,0.00029796101485870695,1.205340088364103,0.7293288839451242,0.9454949944382648,1.6830908854802449,0.56,0.8483333333333334,16.586724700006016
3,0.0002918996776342448,0.8278426765113749,0.8153503893214683,0.9716351501668521,1.3417177597681682,0.635,0.9083333333333333,18.21071220000158
4,0.0002819813258053701,0.5769955817531293,0.8717093066370041,0.9860956618464961,1.2532570266723633,0.675,0.9116666666666666,19.108402199999546
5,0.0002684765061547608,0.4039504345386259,0.9149054505005562,0.9944382647385984,1.2065933227539063,0.6766666666666666,0.9083333333333333,18.658885400000145
6,0.0002517535949580483,0.290060456445759,0.9414163885799036,0.9968483500185391,1.1576999100049337,0.7,0.9133333333333333,18.75861050000094
7,0.00023226874963930277,0.1998809943784375,0.9629217649239896,0.9983314794215795,1.1515766064325967,0.6816666666666666,0.9233333333333333,19.285547500003304
8,0.00021055346598561892,0.14072870653472125,0.9768261030774935,0.9990730441230997,1.0394143478075664,0.72,0.9233333333333333,19.271486499994353
9,0.00018720008032754946,0.10182960213755607,0.9883203559510567,0.9985168705969596,1.000066757996877,0.7416666666666667,0.93,616.9449242000046
10,0.00016284561214811367,0.08256900995627217,0.9909158324063775,0.9979606970708195,1.0154369982083638,0.7383333333333333,0.9316666666666666,16.879334100005508
11,0.0001381543878518863,0.05193319807328425,0.9957360029662589,0.9994438264738599,0.9189819876352946,0.75,0.9416666666666667,14.41833680000127
12,0.00011379991967245051,0.04013864621299039,0.9961067853170189,0.9996292176492398,0.8977270499865214,0.7583333333333333,0.9366666666666666,13.962212699996599
13,9.044653401438108e-05,0.03438401976403458,0.9974045235446792,1.0,0.9012264513969421,0.77,0.9383333333333334,15.00848070000211
14,6.87312503606972e-05,0.029171138389942865,0.9977753058954394,0.9998146088246199,0.9023920480410258,0.7633333333333333,0.9366666666666666,15.496136599998863
15,4.924640504195173e-05,0.025065583567465504,0.9981460882461994,0.9996292176492398,0.8893272002538045,0.7716666666666666,0.9383333333333334,15.886297199998808
16,3.252349384523917e-05,0.020804557222755565,0.9992584352984798,0.9998146088246199,0.8760339005788167,0.7733333333333333,0.9433333333333334,16.190211900000577
17,1.9018674194629896e-05,0.02008469932369714,0.9983314794215795,0.9998146088246199,0.8796507493654887,0.78,0.9383333333333334,16.44906180000544
18,9.100322365755122e-06,0.023944360928863432,0.9981460882461994,0.9994438264738599,0.8732846395174663,0.7866666666666666,0.9416666666666667,16.714417299997876
19,3.0389851412930127e-06,0.018708058540019716,0.9990730441230997,0.9998146088246199,0.8632128190994263,0.7866666666666666,0.9416666666666667,16.979012799994962
