epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,seconds
0,0.0003,3.779799532527874,0.2343344456803856,0.4959213941416389,2.4829128551483155,0.42,0.7833333333333333,57.504797299996426
1,0.0003,1.8852501793353258,0.5908416759362254,0.8767148683722655,1.8298442586263022,0.575,0.8533333333333334,14.315745699997933
2,0.00029796101485870695,1.149033199781659,0.7447163515016685,0.9529106414534668,1.5060805002848308,0.6083333333333333,0.8566666666666667,14.143492300005164
3,0.0002918996776342448,0.7527203169141294,0.831850203930293,0.9812754912866147,1.344743005434672,0.6466666666666666,0.8983333333333333,15.341496299995924
4,0.0002819813258053701,0.47717976245254246,0.9024842417500927,0.9916573971078977,1.5057168086369832,0.625,0.87,14.990725100004056
5,0.0002684765061547608,0.29978252823016005,0.9417871709306637,0.9985168705969596,1.3165571896235149,0.675,0.8983333333333333,15.295012799993856
6,0.0002517535949580483,0.18776091710036888,0.9727474972191323,1.0,1.2032784899075826,0.6983333333333334,0.9,15.78537010000582
7,0.00023226874963930277,0.12387500730407737,0.9823878383388951,0.9998146088246199,1.137411997318268,0.715,0.9116666666666666,18.49352870000439
8,0.00021055346598561892,0.07220534304578878,0.9951798294401186,1.0,1.0524423599243165,0.73,0.9183333333333333,17.814964999997756
9,0.00018720008032754946,0.04998272243012841,0.996292176492399,1.0,1.0175221983591716,0.7266666666666667,0.9333333333333333,17.81633370000054
10,0.00016284561214811367,0.03272381081105295,0.9990730441230997,1.0,1.0133282430966695,0.7533333333333333,0.9233333333333333,15.754636800003937
11,0.0001381543878518863,0.02448830086893955,0.9992584352984798,1.0,0.9630149332682292,0.7683333333333333,0.9233333333333333,18.990337800001726
12,0.00011379991967245051,0.018803651392470918,0.9994438264738599,1.0,0.9490983867645264,0.775,0.93,16.217743100001826
13,9.044653401438108e-05,0.014494494371693534,0.9996292176492398,1.0,0.9186668117841085,0.7816666666666666,0.93,16.937651400003233
14,6.87312503606972e-05,0.012570137242984454,1.0,1.0,0.9150193190574646,0.7683333333333333,0.9316666666666666,19.742016099997272
15,4.924640504195173e-05,0.012076615908762946,1.0,1.0,0.9178617803255716,0.765,0.93,19.07868210000015
16,3.252349384523917e-05,0.010447124153939185,0.9998146088246199,1.0,0.9257490269343058,0.7666666666666667,0.935,16.532680600001186
17,1.9018674194629896e-05,0.009774804999309423,1.0,1.0,0.9111140243212382,0.7616666666666667,0.935,17.317878900001233
18,9.100322365755122e-06,0.009579195570881648,1.0,1.0,0.9085730226834615,0.7716666666666666,0.93,17.90018759999657
19,3.0389851412930127e-06,0.009323980617808288,1.0,1.0,0.9111531432469686,0.7716666666666666,0.9333333333333333,18.174909800000023
