checkpoint,transform,n_samples,n_images,n_degenerate,grad_cosine_mean,grad_cosine_median,grad_cosine_std,grad_cosine_min,grad_cosine_max,grad_cosine_ci_low,grad_cosine_ci_high,frac_cosine_negative,grad_norm_ratio_mean,grad_norm_ratio_median,grad_norm_ratio_std,frac_norm_ratio_above_one,clean_grad_norm_mean,transformed_grad_norm_mean,clean_loss_mean,transformed_loss_mean,delta_loss_mean,clean_margin_mean,transformed_margin_mean,delta_margin_mean,delta_margin_median,frac_delta_margin_negative,feature_cosine_mean,prediction_consistency_rate,accuracy_clean,accuracy_transformed,accuracy_delta,grad_cosine_q01,grad_norm_ratio_q01,grad_cosine_q05,grad_norm_ratio_q05,grad_cosine_q25,grad_norm_ratio_q25,grad_cosine_q5,grad_norm_ratio_q5,grad_cosine_q75,grad_norm_ratio_q75,grad_cosine_q95,grad_norm_ratio_q95,grad_cosine_q99,grad_norm_ratio_q99,grad_cosine_mean_full,grad_norm_ratio_mean_full,grad_cosine_mean_backbone,grad_norm_ratio_mean_backbone,grad_cosine_mean_head,grad_norm_ratio_mean_head,grad_cosine_mean_stem,grad_norm_ratio_mean_stem,grad_cosine_mean_layer1,grad_norm_ratio_mean_layer1,grad_cosine_mean_layer2,grad_norm_ratio_mean_layer2,grad_cosine_mean_layer3,grad_norm_ratio_mean_layer3,grad_cosine_mean_layer4,grad_norm_ratio_mean_layer4
0b_baseline_last,random_resized_crop,600,600,0,0.69502629,0.71470987,0.11476203,0.076651876,0.92887587,0.68541502,0.70385349,0,6.2283957,1.3056813,20.702299,0.68,57.9688,75.529333,0.91119681,1.2071518,0.29595497,0.51450904,0.43639126,-0.078117773,-0.0099143738,0.59833333,0.9406228,0.8,0.77166667,0.69166667,-0.08,0.335636,0.11141255,0.47204756,0.30418943,0.64195177,0.90852863,0.71470987,1.3056813,0.77033883,3.2518775,0.84587064,26.830343,0.87001408,94.582154,0.69502629,6.2283957,0.68687559,6.2767602,0.90733689,5.3252657,0.62553716,7.5254084,0.65612994,6.8282087,0.68363361,6.6877935,0.67011602,6.0958362,0.73199814,5.5466317
0b_baseline_last,gaussian_blur,600,600,0,0.53684485,0.54877336,0.15246681,0.013887459,0.85943206,0.52408235,0.54883122,0,43.268301,2.7587651,229.45494,0.79833333,57.9688,104.42036,0.91119681,1.7856821,0.87448527,0.51450904,0.30740671,-0.20710233,-0.11518039,0.71,0.87155093,0.625,0.77166667,0.56833333,-0.20333333,0.15353776,0.22229569,0.27326906,0.58636642,0.43522603,1.0845195,0.54877336,2.7587651,0.64320725,11.259978,0.77265604,117.4361,0.83305408,988.97209,0.53684485,43.268301,0.52771988,43.900907,0.8120405,28.892863,0.41954929,57.010344,0.45734067,52.766664,0.52035783,49.609067,0.53678929,42.744582,0.61942844,31.860493
0b_baseline_last,random_erasing,600,600,0,0.74259419,0.80136185,0.20350987,0.061624325,0.98917652,0.72532239,0.75799236,0,17.967411,1.2755173,108.97808,0.66166667,57.9688,75.25829,0.91119681,1.527296,0.61609915,0.51450904,0.39741938,-0.11708966,-0.012672029,0.62333333,0.92590203,0.75,0.77166667,0.63333333,-0.13833333,0.15724089,0.20049972,0.32426275,0.55335425,0.63375315,0.92171477,0.80136185,1.2755173,0.90321191,3.4133433,0.96616315,51.877807,0.9796554,345.45993,0.74259419,17.967411,0.73666106,18.035457,0.88923606,16.608869,0.7208753,19.150344,0.72195165,19.772347,0.73571919,18.870954,0.72185969,18.423616,0.75748297,16.469372
0b_color_jitter_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,62.194613,62.194613,1.0068102,1.0068102,0,0.45595072,0.45595072,0,0,0,0.99999999,1,0.73833333,0.73833333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0b_color_jitter_best,color_jitter,600,600,0,0.85168914,0.86855525,0.081295416,0.20570705,0.98031622,0.84568175,0.85791551,0,1.7174001,1.0801955,3.9624055,0.60166667,62.194613,67.41479,1.0068102,1.0970374,0.090227166,0.45595072,0.44387923,-0.01207149,-0.0016458406,0.55833333,0.98151155,0.87833333,0.73833333,0.71166667,-0.026666667,0.59855972,0.30424458,0.71121083,0.49997782,0.81720014,0.8714682,0.86855525,1.0801955,0.90570703,1.5498424,0.94639688,3.9088744,0.9675607,10.34055,0.85168914,1.7174001,0.84682321,1.7221221,0.96650238,1.6076095,0.73466566,1.8535619,0.79283254,1.7694709,0.84860258,1.7445807,0.85995485,1.7289959,0.89520871,1.6578923
0b_rotation_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,59.991126,59.991126,0.97097453,0.97097453,0,0.49443178,0.49443178,0,0,0,0.99999999,1,0.76,0.76,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0b_rotation_best,rotation,600,600,0,0.80898107,0.81371218,0.074698561,0.45120865,0.99287672,0.80275783,0.81487954,0,1.3791169,1.0287749,2.1360669,0.52833333,59.991126,61.977934,0.97097453,0.97985375,0.0088792217,0.49443178,0.51163315,0.017201375,0.001639875,0.45,0.97631651,0.87333333,0.76,0.74166667,-0.018333333,0.63413671,0.14860168,0.68146535,0.25656476,0.76214137,0.687613,0.81371218,1.0287749,0.86137893,1.4402756,0.91563933,3.0267338,0.96249112,8.7830887,0.80898107,1.3791169,0.80272863,1.381558,0.96047446,1.3211159,0.75337435,1.4523884,0.77984108,1.411714,0.79316045,1.4023124,0.78940578,1.3807363,0.84402951,1.3364507
0b_crop_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,58.168774,58.168774,0.87329913,0.87329913,0,0.51700977,0.51700977,0,0,0,0.99999999,1,0.78666667,0.78666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0b_crop_best,random_resized_crop,600,600,0,0.70417678,0.72317274,0.10749838,0.23257877,0.91310298,0.69511126,0.71245829,0,6.7508413,1.263261,37.826401,0.66166667,58.168774,75.349848,0.87329913,1.1086899,0.23539078,0.51700977,0.4633397,-0.053670075,-0.0033422649,0.575,0.94718368,0.83166667,0.78666667,0.71333333,-0.073333333,0.35545121,0.038179684,0.51707252,0.19230742,0.64663999,0.82413911,0.72317274,1.263261,0.78153918,2.5017182,0.8444521,13.604379,0.86871382,144.04938,0.70417678,6.7508413,0.69594672,6.7702654,0.91277452,6.2791815,0.62767802,7.095124,0.66885945,7.3437887,0.69375165,7.0963281,0.67856524,6.6041297,0.73899958,6.1709849
0b_gaussian_blur_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,57.48021,57.48021,0.96377832,0.96377832,0,0.47933222,0.47933222,0,0,0,0.99999999,1,0.77,0.77,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0b_gaussian_blur_best,gaussian_blur,600,600,0,0.78999549,0.80141555,0.078553185,0.26564996,0.92491897,0.78375669,0.79605245,0,1.6078621,1.135385,2.6387886,0.62833333,57.48021,66.309728,0.96377832,1.0529787,0.08920034,0.47933222,0.48183014,0.0024979186,0.00027787727,0.48333333,0.97788756,0.87166667,0.77,0.74,-0.03,0.56044783,0.16488548,0.64493171,0.34885138,0.75027348,0.82952459,0.80141555,1.135385,0.84579617,1.543066,0.88982851,3.9516575,0.91291856,10.120157,0.78999549,1.6078621,0.78306255,1.6156065,0.96076423,1.4266726,0.63736856,2.4749646,0.67112102,1.7365986,0.78786889,1.6437355,0.81992778,1.5073414,0.87307676,1.4352104
0b_random_erasing_best,identity,600,600,0,1,1,0,1,1,1,1,0,1,1,0,0,59.32159,59.32159,0.98032473,0.98032473,0,0.46203917,0.46203917,0,0,0,0.99999999,1,0.75833333,0.75833333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0b_random_erasing_best,random_erasing,600,600,0,0.82012907,0.8681638,0.15100548,0.14388145,0.99029215,0.80831923,0.83174708,0,3.3853134,1.0550021,12.774779,0.57166667,59.32159,70.014919,0.98032473,1.2280138,0.2476891,0.46203917,0.41748824,-0.044550936,0.00025266412,0.49,0.96253826,0.815,0.75833333,0.69333333,-0.065,0.33495139,0.18762695,0.48952215,0.42380103,0.76289511,0.84805604,0.8681638,1.0550021,0.92552362,1.5656288,0.97255251,10.231897,0.9810534,47.327226,0.82012907,3.3853134,0.81455643,3.3853125,0.93744191,3.4213298,0.78930923,3.4953317,0.79953512,3.6237148,0.81311148,3.5422518,0.80238964,3.310765,0.83818853,3.2166466
