checkpoint,transform,n_samples,n_images,n_degenerate,grad_cosine_mean,grad_cosine_median,grad_cosine_std,grad_cosine_min,grad_cosine_max,grad_cosine_ci_low,grad_cosine_ci_high,frac_cosine_negative,grad_norm_ratio_mean,grad_norm_ratio_median,grad_norm_ratio_std,frac_norm_ratio_above_one,clean_grad_norm_mean,transformed_grad_norm_mean,clean_loss_mean,transformed_loss_mean,delta_loss_mean,clean_margin_mean,transformed_margin_mean,delta_margin_mean,delta_margin_median,frac_delta_margin_negative,feature_cosine_mean,prediction_consistency_rate,accuracy_clean,accuracy_transformed,accuracy_delta,grad_cosine_q01,grad_norm_ratio_q01,grad_cosine_q05,grad_norm_ratio_q05,grad_cosine_q25,grad_norm_ratio_q25,grad_cosine_q5,grad_norm_ratio_q5,grad_cosine_q75,grad_norm_ratio_q75,grad_cosine_q95,grad_norm_ratio_q95,grad_cosine_q99,grad_norm_ratio_q99,grad_cosine_mean_full,grad_norm_ratio_mean_full,grad_cosine_mean_backbone,grad_norm_ratio_mean_backbone,grad_cosine_mean_head,grad_norm_ratio_mean_head,grad_cosine_mean_stem,grad_norm_ratio_mean_stem,grad_cosine_mean_layer1,grad_norm_ratio_mean_layer1,grad_cosine_mean_layer2,grad_norm_ratio_mean_layer2,grad_cosine_mean_layer3,grad_norm_ratio_mean_layer3,grad_cosine_mean_layer4,grad_norm_ratio_mean_layer4,policy_0b,val_top1_0b,val_top5_0b,val_loss_0b,best_epoch_0b,val_top1_delta_0b,baseline_val_top1_0b
experiment_0a_best,color_jitter,600,600,0,0.68125815,0.72455092,0.17804913,-0.036841849,0.96583152,0.66709737,0.69562251,0.0016666667,43.804593,1.7111691,620.61241,0.73666667,59.945426,88.897643,0.94612601,1.6745648,0.72843875,0.49816053,0.35283453,-0.14532601,-0.043907152,0.68333333,0.91853133,0.695,0.76166667,0.6,-0.16166667,0.17105195,0.1580666,0.32920985,0.44307016,0.58442233,0.98200265,0.72455092,1.7111691,0.8145017,6.2737316,0.90642109,70.252491,0.93908661,446.41717,0.68125815,43.804593,0.67438043,44.505428,0.86713456,32.319486,0.5723479,55.099921,0.61624829,56.612208,0.67518188,48.495473,0.68425266,41.046731,0.73283183,35.014547,baseline_color_jitter,0.73833333,0.91833333,1.0068655,15,-0.043333333,0.78166667
experiment_0a_best,rotation,600,600,0,0.76652212,0.77581689,0.09304708,0.28760426,0.99086058,0.75871778,0.77381371,0,2.1659002,1.0940401,3.5266663,0.58333333,59.945426,64.857787,0.94612601,1.0549761,0.10885006,0.49816053,0.49098231,-0.0071782271,-0.00070038586,0.53,0.95977172,0.865,0.76166667,0.74833333,-0.013333333,0.49189976,0.12348058,0.60922988,0.30405225,0.71499554,0.79800147,0.77581689,1.0940401,0.82924612,1.97136,0.89320665,7.384433,0.9516308,17.885046,0.76652212,2.1659002,0.75975772,2.1709691,0.93671179,2.0396038,0.70947099,2.2850664,0.73355529,2.200568,0.75185159,2.2013625,0.74555367,2.1821744,0.80213443,2.0904895,baseline_rotation,0.76,0.93833333,0.97095074,14,-0.021666667,0.78166667
experiment_0a_best,random_resized_crop,600,600,0,0.68530406,0.7055778,0.11561552,0.17929499,0.9046028,0.67657094,0.69469277,0,8.8043775,1.2902928,78.383126,0.66,59.945426,77.401285,0.94612601,1.2566119,0.31048587,0.49816053,0.43887543,-0.059285102,-0.004613044,0.56833333,0.93782604,0.79,0.76166667,0.69833333,-0.063333333,0.3239573,0.10440548,0.46063066,0.26013631,0.62475281,0.86417798,0.7055778,1.2902928,0.76471642,2.9527011,0.83789997,20.13523,0.8722548,90.431717,0.68530406,8.8043775,0.67714483,8.9073086,0.90144989,6.9487996,0.61313747,10.588222,0.64282796,9.4929633,0.67422403,9.3212904,0.66359998,9.0517513,0.72728954,7.7676216,baseline_crop,0.78666667,0.94166667,0.87328464,18,0.005,0.78166667
experiment_0a_best,gaussian_blur,600,600,0,0.50295388,0.50005643,0.15085506,0.07253437,0.8394745,0.49114041,0.51520659,0,38.525485,2.4996955,139.52304,0.80666667,59.945426,109.18545,0.94612601,1.9228976,0.97677161,0.49816053,0.28701548,-0.21114505,-0.1455637,0.71333333,0.86465521,0.61,0.76166667,0.535,-0.22666667,0.14635171,0.2217884,0.24810199,0.60345535,0.39309031,1.0885883,0.50005643,2.4996955,0.61834267,14.447596,0.73994445,160.28444,0.78851302,786.92499,0.50295388,38.525485,0.49335396,39.086779,0.8039456,25.200366,0.37406792,50.621361,0.41775834,45.738786,0.48569837,43.394939,0.50662495,37.975827,0.59893454,29.055107,baseline_gaussian_blur,0.77,0.93666667,0.96377826,18,-0.011666667,0.78166667
experiment_0a_best,random_erasing,600,600,0,0.75309215,0.80895945,0.19406365,0.12178727,0.98794814,0.73750856,0.76712503,0,24.540993,1.2454195,239.82749,0.66,59.945426,78.3867,0.94612601,1.5063252,0.56019921,0.49816053,0.37655477,-0.12160577,-0.014849859,0.65,0.92718603,0.745,0.76166667,0.63,-0.13166667,0.19105736,0.26116162,0.35181923,0.50354453,0.6446836,0.9148618,0.80895945,1.2454195,0.9074135,3.2631126,0.96582019,45.484921,0.98054217,429.60902,0.75309215,24.540993,0.7474462,24.75858,0.89311863,20.577811,0.73334856,30.142709,0.73464958,28.996547,0.74996077,26.751123,0.73122807,24.295547,0.76498652,21.606872,baseline_random_erasing,0.75833333,0.92666667,0.98032122,18,-0.023333333,0.78166667
